,True Positive,True Negative,False Positive,False Negative,Total,Match,Mismatch,Match %,Mismatch %,Accuracy,Recall,Precision
ERKi + mTORi,14,0,1,0,15,14,1,93.33333333333333,6.666666666666667,93.33,100.0,93.33
CHEKi + CyclinDi,0,2,12,1,15,2,13,13.333333333333334,86.66666666666667,13.33,0.0,0.0
AKTi + EGFRi,12,0,2,1,15,12,3,80.0,20.0,80.0,92.31,85.71
CHEKi + MAPKi,4,1,9,1,15,5,10,33.33333333333333,66.66666666666666,33.33,80.0,30.77
AKTi + mTORi,12,0,2,1,15,12,3,80.0,20.0,80.0,92.31,85.71
BCL2L1i + PIK3_MTORi,12,0,3,0,15,12,3,80.0,20.0,80.0,100.0,80.0
BCL2i + mTORi,14,0,1,0,15,14,1,93.33333333333333,6.666666666666667,93.33,100.0,93.33
CyclinDi + PIK3_MTORi,8,0,7,0,15,8,7,53.333333333333336,46.666666666666664,53.33,100.0,53.33
EGFRi + PIK3_MTORi,11,0,3,1,15,11,4,73.33333333333333,26.666666666666668,73.33,91.67,78.57
BCL2i + PIK3_MTORi,14,0,1,0,15,14,1,93.33333333333333,6.666666666666667,93.33,100.0,93.33
BCL2L1i + mTORi,12,0,3,0,15,12,3,80.0,20.0,80.0,100.0,80.0
CHEKi + Wee1i,6,3,1,5,15,9,6,60.0,40.0,60.0,54.55,85.71
AKTi + PIK3_MTORi,9,1,4,1,15,10,5,66.66666666666666,33.33333333333333,66.67,90.0,69.23
ERKi + PIK3_MTORi,14,0,1,0,15,14,1,93.33333333333333,6.666666666666667,93.33,100.0,93.33
CHEKi + PARPi,0,11,0,4,15,11,4,73.33333333333333,26.666666666666668,73.33,0.0,0.0
EGFRi + mTORi,8,2,2,3,15,10,5,66.66666666666666,33.33333333333333,66.67,72.73,80.0
CyclinDi + mTORi,9,0,6,0,15,9,6,60.0,40.0,60.0,100.0,60.0
